counsel_speaker,start_time,first_interruption_time,time_to_interruption,interrupting_justice,justice_gender
Speaker 1,306,313,7,Wagner,M
Speaker 1,315,321,6,Brown,M
Speaker 1,384,398,14,Wagner,M
Speaker 1,405,1620,1215,Kasirer,M
Speaker 1,419,1620,1201,Kasirer,M
Speaker 1,615,1620,1005,Kasirer,M
Speaker 1,618,1620,1002,Kasirer,M
Speaker 1,658,1620,962,Kasirer,M
Speaker 1,684,1620,936,Kasirer,M
Speaker 1,890,1620,730,Kasirer,M
Speaker 1,1045,1620,575,Kasirer,M
Speaker 1,1167,1620,453,Kasirer,M
Speaker 1,1428,1620,192,Kasirer,M
Speaker 1,1518,1620,102,Kasirer,M
Speaker 1,1612,1620,8,Kasirer,M
Speaker 1,1664,2697,1033,Rowe,M
Speaker 1,1866,2697,831,Rowe,M
Speaker 1,1924,2697,773,Rowe,M
Speaker 1,1939,2697,758,Rowe,M
Speaker 1,2065,2697,632,Rowe,M
Speaker 1,2112,2697,585,Rowe,M
Speaker 1,2319,2697,378,Rowe,M
Speaker 1,2503,2697,194,Rowe,M
Speaker 1,2594,2697,103,Rowe,M
Speaker 1,2650,2697,47,Rowe,M
Speaker 1,2696,2697,1,Rowe,M
Speaker 1,2757,3842,1085,Martin,F
Speaker 1,2809,3842,1033,Martin,F
Speaker 2,2936,2937,1,Abella,F
"In other words, what is there where there is the permit requirement preventing hazardous waste, all of the things that are now in this, what is the difference between what is mandated there for the protection of the environment and what is in part 2.1.
Speaker 1",2977,2983,6,Abella,F
Speaker 1,3022,3842,820,Martin,F
Speaker 1,3057,3842,785,Martin,F
Speaker 1,3097,3842,745,Martin,F
Speaker 1,3105,3842,737,Martin,F
Speaker 1,3345,3842,497,Martin,F
"I think they hit it head on, like two trains on the same track going in opposite directions.
Speaker 1",3512,3559,47,Abella,F
Speaker 1,3599,3842,243,Martin,F
Speaker 1,3608,3842,234,Martin,F
Speaker 1,3674,3842,168,Martin,F
Speaker 1,3783,3842,59,Martin,F
Speaker 1,3836,3842,6,Martin,F
Speaker 1,3883,3997,114,Wagner,M
Speaker 1,3899,3997,98,Wagner,M
Speaker 1,4359,4367,8,Abella,F
Speaker 1,4381,4423,42,Wagner,M
Speaker 1,4417,4423,6,Wagner,M
Speaker 22,6581,6741,160,Brown,M
Speaker 22,6637,6741,104,Brown,M
Speaker 22,6685,6741,56,Brown,M
Speaker 22,6731,6741,10,Brown,M
Speaker 12,7250,7607,357,Karakatsanis,F
Speaker 12,7483,7607,124,Karakatsanis,F
Speaker 12,7545,7607,62,Karakatsanis,F
Speaker 12,7593,7607,14,Karakatsanis,F
Speaker 12,7622,7670,48,Karakatsanis,F
Speaker 12,7658,7670,12,Karakatsanis,F
Speaker 12,7687,7962,275,Kasirer,M
Speaker 12,7847,7962,115,Kasirer,M
Speaker 12,7951,7962,11,Kasirer,M
Speaker 12,7967,8032,65,Abella,F
Speaker 12,8020,8032,12,Abella,F
Speaker 12,8044,8050,6,Brown,M
Speaker 12,8070,9224,1154,Martin,F
Speaker 12,8122,9224,1102,Martin,F
Speaker 12,8134,9224,1090,Martin,F
Speaker 12,8375,9224,849,Martin,F
Speaker 12,8706,9224,518,Martin,F
Speaker 12,8778,9224,446,Martin,F
Speaker 12,8947,9224,277,Martin,F
Speaker 12,9206,9224,18,Martin,F
Speaker 12,9216,9224,8,Martin,F
Speaker 12,9365,9992,627,Brown,M
Speaker 12,9469,9992,523,Brown,M
Speaker 12,9498,9992,494,Brown,M
Speaker 12,9532,9992,460,Brown,M
